SKU,Quantity
806993491524,4
806993491531,4
806993523942,4
806993530254,4
806993530261,4
806993530278,4
806993530315,3
806993536324,4
806993536348,4
806993558715,3
806993562217,3
806993570441,3
806993579499,4
806993579505,4
806993579598,4
806993579604,4
806993594928,4
806993594935,4
806993594959,4
806993594980,4
806993594997,4
806993595017,4
806993599824,4
806993599879,4
806993599923,4
806993599961,4
806993601374,10
806993601435,10
806993601459,10
806993601480,10
806993601619,10
806993607925,3
806993608007,3
806993610840,3
806993618686,4
806993618693,4
806993618723,4
806993618761,4
806993618778,4
806993618808,4
